HDR|08|2019
intor00000154817882|ioreg00000154817882|STLCR|100.0
intor00000156269215|ioreg00000156269215|LOVES|50.0
intor00000153660575|ioreg00000153660575|SBRGA|100.0
intor00000157152693|ioreg00000157152693|SGHIL|60.0
intor00000153402789|ioreg00000153402789|SATCM|100.0
intor00000154459549|ioreg00000154459549|LBLER|50.0
intor00000153695095|ioreg00000153695095|BGMVE|50.0
intor00000156377317|ioreg00000156377317|HOUMS|100.0
intor00000157445084|ioreg00000157445084|GDLIT|100.0
intor00000154240075|ioreg00000154240075|PRROK|100.0
intor00000154239957|ioreg00000154239957|SUEMN|50.0
intor00000154240000|ioreg00000154240000|PFNBE|50.0
intor00000156363467|ioreg00000156363467|LEXAC|30.0
intor00000146284233|ioreg00000146284233|BXYSP|100.0
intor00000154959080|ioreg00000154959080|YTOYM|100.0
intor00000154795469|ioreg00000154795469|DTTWA|100.0
intor00000149048476|ioreg00000149048476|INDEE|100.0
intor00000152344169|ioreg00000152344169|OMAAD|100.0
intor00000155614846|ioreg00000155614846|OTROR|100.0
intor00000154240129|ioreg00000154240129|IDAPD|100.0
intor00000156511423|ioreg00000156511423|TRYOH|100.0
intor00000157825606|ioreg00000157825606|LAXWM|100.0
intor00000155614953|ioreg00000155614953|RFDIL|100.0
